X,Y,Estado,Confirmados,Muertes,Recuperados,PobTotal,Incidencia,Mortalidad,Letalidad,cve_inegi,FID
-102.361932278875727,22.006446095016614,AGUASCALIENTES,65,1,,1434635,4.53076915034138,0.0697041407744827,0.153846153846154,1,1
-115.098482770585946,30.553187094178529,BAJA CALIFORNIA,412,28,,3634868,11.3346619464586,0.770316831312719,0.679611650485437,2,2
-112.048186986080637,25.92020362804579,BAJA CALIFORNIA SUR,164,5,,804708,20.3800633273187,0.621343394125571,0.304878048780488,3,3
-90.321372849897557,18.847578329346401,CAMPECHE,33,2,,1000617,3.29796515549906,0.199876676090852,0.606060606060606,4,4
-92.463153405135301,16.486861737990004,CHIAPAS,45,3,,5730367,0.785290017201342,0.0523526678134228,0.666666666666667,7,5
-106.469743818808055,28.806676622634978,CHIHUAHUA,69,16,,3801487,1.81507920453233,0.420887931485758,2.31884057971015,8,6
-99.139394262903465,19.276909447084861,CIUDAD DE MÉXICO,1556,92,,9018645,17.2531461211745,1.02010889662471,0.591259640102828,9,7
-102.044280621937531,27.292212988248643,COAHUILA,194,12,,3218720,6.02724064224288,0.372819008798529,0.618556701030928,5,8
-104.114129939052106,19.130725975699125,COLIMA,7,0,,785153,0.891545978936589,0,0,6,9
-104.913247720368574,24.923012774089827,DURANGO,15,3,,1868996,0.802569935944218,0.160513987188844,2,10,10
-101.012595587433779,20.905642108399427,GUANAJUATO,90,5,,6228175,1.44504610098464,0.080280338943591,0.555555555555556,11,11
-99.919872897694773,17.667431569922513,GUERRERO,88,6,,3657048,2.40631241372823,0.16406675548147,0.681818181818182,12,12
-98.887087384747161,20.479558480829443,HIDALGO,64,10,,3086414,2.07360386519761,0.324000603937126,1.5625,13,13
-103.621137813334315,20.58534851938591,JALISCO,165,11,,8409693,1.96202168140977,0.130801445427318,0.666666666666667,14,14
-99.645378250959951,19.355908637355149,MÉXICO,602,35,,17427790,3.45425323578033,0.200828676498856,0.581395348837209,15,15
-101.882882903784434,19.204403085155352,MICHOACÁN,67,11,,4825401,1.38848564088249,0.22796032910011,1.64179104477612,16,16
-99.074922519016965,18.74205351260774,MORELOS,53,9,,2044058,2.59288141530231,0.440300617692844,1.69811320754717,17,17
-104.855732299175287,21.802131714284553,NAYARIT,25,4,,1288571,1.94013368297129,0.310421389275407,1.6,18,18
-99.968980865769765,25.572567839869645,NUEVO LEÓN,136,5,,5610153,2.42417631034305,0.0891241290567298,0.367647058823529,19,19
-96.450081762759595,16.963565730255713,OAXACA,46,5,,4143593,1.11014764239635,0.120668221999603,1.08695652173913,20,20
-97.900071411021202,19.00607146713828,PUEBLA,276,27,,6604451,4.17899988961989,0.408815206593251,0.978260869565217,21,21
-99.845675941338428,20.855201451767215,QUERETARO,65,4,,2279637,2.85133115491633,0.175466532610236,0.615384615384615,22,22
-88.113741909001718,19.63658439063223,QUINTANA ROO,245,25,,1723259,14.2172476685165,1.45073955801188,1.02040816326531,23,23
-100.416898068271152,22.585535304984113,SAN LUIS POTOSÍ,55,4,,2866142,1.91895586471291,0.139560426524576,0.727272727272727,24,24
-107.476308279366748,24.993343386380293,SINALOA,261,34,,3156674,8.26819620904788,1.07708303106371,1.30268199233716,25,25
-110.814420433419599,29.694481391809269,SONORA,73,9,,3074745,2.37418062310858,0.292707200109277,1.23287671232877,26,26
-92.586092727822418,17.935049388993765,TABASCO,195,19,,2572287,7.58080260872912,0.738642305465914,0.974358974358974,27,27
-98.66604902277966,24.267519968300615,TAMAULIPAS,55,3,,3650602,1.50660082912353,0.0821782270431014,0.545454545454545,28,28
-98.168536868301274,19.428536084196637,TLAXCALA,51,4,,1380011,3.69562271605081,0.289852762043201,0.784313725490196,29,29
-96.405797740573803,19.368169829034606,VERACRUZ,94,5,,8539862,1.10072036292858,0.0585489554749245,0.531914893617021,30,30
-88.92868005373748,20.763828582975627,YUCATÁN,116,7,,2259098,5.13479273586184,0.30985818233649,0.603448275862069,31,31
-102.660568122995215,23.289000261790786,ZACATECAS,17,2,,1666426,1.02014730927146,0.120017330502525,1.17647058823529,32,32
