Date,Deaths_PD,Cumulative_Deaths
19/02,0,0
20/02,0,0
21/02,0,0
22/02,0,0
23/02,0,0
24/02,0,0
25/02,0,0
26/02,0,0
27/02,0,0
28/02,0,0
29/02,0,0
1/03,0,0
2/03,0,0
3/03,1,1
4/03,0,1
5/03,0,1
6/03,0,1
7/03,0,1
8/03,0,1
9/03,0,1
10/03,0,1
11/03,0,1
12/03,0,1
13/03,1,2
14/03,0,2
15/03,0,2
16/03,0,2
17/03,1,3
18/03,1,4
19/03,0,4
20/03,0,4
21/03,0,4
22/03,1,5
23/03,1,6
24/03,0,6
25/03,1,7
26/03,3,10
27/03,4,14
28/03,6,20
29/03,4,24
30/03,5,29
31/03,9,38
1/04,7,45
2/04,11,56
3/04,10,66
4/04,11,77
5/04,12,89
6/04,20,109
7/04,21,130
8/04,14,144
9/04,23,167
10/04,31,198
11/04,37,235
12/04,28,263
13/04,34,297
14/04,42,339
15/04,42,381
16/04,45,426
17/04,45,471
18/04,56,527
19/04,64,591
20/04,75,666
21/04,88,754
22/04,70,824
23/04,82,906
24/04,107,1013
25/04,114,1127
26/04,137,1264
27/04,104,1368
28/04,113,1481
29/04,155,1636
30/04,155,1791
1/05,159,1950
2/05,126,2076
3/05,141,2217
4/05,167,2384
5/05,156,2540
6/05,150,2690
7/05,140,2830
8/05,154,2984
9/05,149,3133
10/05,155,3288
11/05,157,3445
12/05,172,3617
13/05,188,3805
14/05,182,3987
15/05,209,4196
16/05,192,4388
17/05,226,4614
18/05,214,4828
19/05,210,5038
20/05,176,5214
21/05,232,5446
22/05,204,5650
23/05,190,5840
24/05,217,6057
25/05,211,6268
26/05,221,6489
27/05,197,6686
28/05,206,6892
29/05,195,7087
30/05,199,7286
31/05,232,7518
1/06,225,7743
2/06,192,7935
3/06,237,8172
4/06,216,8388
5/06,206,8594
6/06,219,8813
7/06,221,9034
8/06,224,9258
9/06,236,9494
10/06,219,9713
11/06,238,9951
12/06,224,10175
13/06,220,10395
14/06,203,10598
15/06,199,10797
16/06,237,11034
17/06,215,11249
18/06,182,11431
19/06,198,11629
20/06,144,11773
21/06,171,11944
22/06,164,12108
23/06,155,12263
24/06,139,12402
25/06,123,12525
26/06,151,12676
27/06,167,12843
28/06,148,12991
29/06,172,13163
30/06,157,13320
1/07,162,13482
2/07,161,13643
3/07,120,13763
4/07,141,13904
5/07,145,14049
6/07,177,14226
7/07,147,14373
8/07,137,14510
9/07,137,14647
10/07,126,14773
11/07,154,14927
12/07,144,15071
13/07,121,15192
14/07,143,15335
15/07,150,15485
16/07,146,15631
17/07,126,15757
18/07,140,15897
19/07,146,16043
20/07,121,16164
21/07,128,16292
22/07,102,16394
23/07,127,16521
24/07,113,16634
25/07,136,16770
26/07,125,16895
27/07,122,17017
28/07,112,17129
29/07,99,17228
30/07,120,17348
31/07,112,17460
1/08,114,17574
2/08,115,17689
3/08,122,17811
4/08,121,17932
5/08,118,18050
6/08,115,18165
7/08,102,18267
8/08,120,18387
9/08,101,18488
10/08,120,18608
11/08,91,18699
12/08,101,18800
13/08,100,18900
14/08,100,19000
15/08,103,19103
16/08,98,19201
17/08,96,19297
18/08,97,19394
19/08,110,19504
20/08,89,19593
21/08,93,19686
22/08,86,19772
23/08,115,19887
24/08,96,19983
25/08,97,20080
26/08,81,20161
27/08,92,20253
28/08,102,20355
29/08,100,20455
30/08,87,20542
31/08,92,20634
1/09,98,20732
2/09,97,20829
3/09,92,20921
4/09,81,21002
5/09,87,21089
6/09,108,21197
7/09,90,21287
8/09,74,21361
9/09,86,21447
10/09,79,21526
11/09,94,21620
12/09,92,21712
13/09,80,21792
14/09,76,21868
15/09,95,21963
16/09,90,22053
17/09,83,22136
18/09,82,22218
19/09,87,22305
20/09,90,22395
21/09,80,22475
22/09,100,22575
23/09,107,22682
24/09,82,22764
25/09,82,22846
26/09,76,22922
27/09,81,23003
28/09,72,23075
29/09,85,23160
30/09,74,23234
1/10,62,23296
2/10,90,23386
3/10,78,23464
4/10,91,23555
5/10,89,23644
6/10,76,23720
7/10,61,23781
8/10,79,23860
9/10,73,23933
10/10,101,24034
11/10,81,24115
12/10,103,24218
13/10,70,24288
14/10,88,24376
15/10,80,24456
16/10,84,24540
17/10,80,24620
18/10,82,24702
19/10,102,24804
20/10,78,24882
21/10,90,24972
22/10,98,25070
23/10,100,25170
24/10,74,25244
25/10,77,25321
26/10,94,25415
27/10,85,25500
28/10,93,25593
29/10,86,25679
30/10,93,25772
31/10,85,25857
