Date,Onset_PD,Cumulative_Onset,Reported_PD,Cumulative_Rep,Deaths_PD,Cumulative_Deaths
23/03/2020,77,705,38,396,1,3
24/03/2020,74,779,58,454,0,3
25/03/2020,82,861,50,504,1,4
26/03/2020,122,983,77,581,3,7
27/03/2020,111,1094,81,662,4,11
28/03/2020,92,1186,75,737,5,16
29/03/2020,89,1275,53,790,3,19
30/03/2020,164,1439,129,919,5,24
31/03/2020,123,1562,84,1003,9,33
01/04/2020,204,1766,105,1108,6,39
02/04/2020,168,1934,120,1228,10,49
03/04/2020,167,2101,129,1357,10,59
04/04/2020,193,2294,91,1448,10,69
05/04/2020,189,2483,94,1542,9,78
06/04/2020,259,2742,199,1741,20,98
07/04/2020,225,2967,200,1941,21,119
08/04/2020,267,3234,212,2153,12,131
09/04/2020,281,3515,189,2342,22,153
10/04/2020,463,3978,237,2579,30,183
11/04/2020,329,4307,186,2765,35,218
12/04/2020,355,4662,197,2962,28,246
13/04/2020,470,5132,421,3383,33,279
14/04/2020,435,5567,404,3787,40,319
15/04/2020,568,6135,410,4197,40,359
16/04/2020,510,6645,436,4633,41,400
17/04/2020,606,7251,483,5116,40,440
18/04/2020,629,7880,354,5470,52,492
19/04/2020,577,8457,337,5807,57,549
20/04/2020,939,9396,706,6513,69,618
21/04/2020,610,10006,708,7221,75,693
22/04/2020,613,10619,640,7861,65,758
23/04/2020,641,11260,616,8477,71,829
