"","FECHA_SINTOMAS","i_s","cumulative_i_s"
"1","2020-03-01",2,2
"2","2020-03-02",4,6
"3","2020-03-03",2,8
"4","2020-03-04",3,11
"5","2020-03-05",2,13
"6","2020-03-06",6,19
"7","2020-03-07",9,28
"8","2020-03-08",5,33
"9","2020-03-09",19,52
"10","2020-03-10",22,74
"11","2020-03-11",19,93
"12","2020-03-12",15,108
"13","2020-03-13",32,140
"14","2020-03-14",33,173
"15","2020-03-15",35,208
"16","2020-03-16",42,250
"17","2020-03-17",23,273
"18","2020-03-18",25,298
"19","2020-03-19",33,331
"20","2020-03-20",53,384
"21","2020-03-21",20,404
"22","2020-03-22",29,433
"23","2020-03-23",48,481
"24","2020-03-24",46,527
"25","2020-03-25",47,574
"26","2020-03-26",80,654
"27","2020-03-27",58,712
"28","2020-03-28",61,773
"29","2020-03-29",52,825
"30","2020-03-30",102,927
"31","2020-03-31",73,1000
"32","2020-04-01",125,1125
"33","2020-04-02",107,1232
"34","2020-04-03",105,1337
"35","2020-04-04",121,1458
"36","2020-04-05",128,1586
"37","2020-04-06",150,1736
"38","2020-04-07",147,1883
"39","2020-04-08",158,2041
"40","2020-04-09",176,2217
"41","2020-04-10",293,2510
"42","2020-04-11",202,2712
"43","2020-04-12",209,2921
"44","2020-04-13",280,3201
"45","2020-04-14",264,3465
"46","2020-04-15",351,3816
"47","2020-04-16",309,4125
"48","2020-04-17",355,4480
"49","2020-04-18",382,4862
"50","2020-04-19",343,5205
"51","2020-04-20",596,5801
"52","2020-04-21",352,6153
"53","2020-04-22",367,6520
"54","2020-04-23",394,6914
"55","2020-04-24",458,7372
"56","2020-04-25",464,7836
"57","2020-04-26",410,8246
"58","2020-04-27",542,8788
"59","2020-04-28",479,9267
"60","2020-04-29",390,9657
"61","2020-04-30",556,10213
"62","2020-05-01",869,11082
"63","2020-05-02",534,11616
"64","2020-05-03",551,12167
"65","2020-05-04",746,12913
"66","2020-05-05",678,13591
"67","2020-05-06",608,14199
"68","2020-05-07",660,14859
"69","2020-05-08",774,15633
"70","2020-05-09",647,16280
"71","2020-05-10",943,17223
"72","2020-05-11",813,18036
"73","2020-05-12",731,18767
"74","2020-05-13",655,19422
"75","2020-05-14",629,20051
"76","2020-05-15",975,21026
"77","2020-05-16",717,21743
"78","2020-05-17",695,22438
"79","2020-05-18",1022,23460
"80","2020-05-19",690,24150
"81","2020-05-20",1163,25313
"82","2020-05-21",644,25957
"83","2020-05-22",792,26749
"84","2020-05-23",691,27440
"85","2020-05-24",657,28097
"86","2020-05-25",1094,29191
"87","2020-05-26",741,29932
"88","2020-05-27",718,30650
"89","2020-05-28",819,31469
"90","2020-05-29",752,32221
"91","2020-05-30",710,32931
"92","2020-05-31",689,33620
"93","2020-06-01",1316,34936
"94","2020-06-02",761,35697
"95","2020-06-03",713,36410
"96","2020-06-04",773,37183
"97","2020-06-05",906,38089
"98","2020-06-06",772,38861
"99","2020-06-07",589,39450
"100","2020-06-08",842,40292
"101","2020-06-09",628,40920
"102","2020-06-10",1020,41940
"103","2020-06-11",657,42597
"104","2020-06-12",740,43337
"105","2020-06-13",595,43932
"106","2020-06-14",507,44439
"107","2020-06-15",915,45354
"108","2020-06-16",646,46000
"109","2020-06-17",555,46555
"110","2020-06-18",731,47286
"111","2020-06-19",713,47999
"112","2020-06-20",986,48985
"113","2020-06-21",499,49484
"114","2020-06-22",680,50164
"115","2020-06-23",637,50801
"116","2020-06-24",612,51413
"117","2020-06-25",789,52202
"118","2020-06-26",801,53003
"119","2020-06-27",520,53523
"120","2020-06-28",681,54204
"121","2020-06-29",780,54984
"122","2020-06-30",772,55756
