,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
y_init[1],8915647.7893297,29.3444892224379,593.973841853658,8914659.09072862,8915180.90203619,8915592.92546302,8916070.66341693,8916881.14333277,409.714684667435,0.999052365000071
y_init[2],1388.07812895058,21.585769449977,489.939689511663,352.35496503644,1052.07989458895,1461.06437609099,1794.92532821368,2070.93166174925,515.169539900047,1.00080433908973
y_init[3],22,NA,0,22,22,22,22,22,NA,NA
y_init[4],1595.13254134941,24.5231806586534,396.343745201418,622.884929360041,1352.01551229468,1685.85833995557,1903.58832114079,2085.61450500238,261.210375014211,1.00302568720048
y_init[5],0,NA,0,0,0,0,0,0,NA,NA
y_init[6],0,NA,0,0,0,0,0,0,NA,NA
y_init[7],0,NA,0,0,0,0,0,0,NA,NA
y_init[8],74,NA,0,74,74,74,74,74,NA,NA
theta[1],0.979980836908094,0.00340791793006,0.098509759048957,0.796769613314545,0.911344302136305,0.981007212076911,1.04283040471279,1.17666575617766,835.565035795281,1.00124551086014
theta[2],0.889631557198837,0.003054436368655,0.095752797172272,0.704436197229993,0.822830573255999,0.890472057026056,0.95108415068929,1.08429806110038,982.744846236991,0.99926314808684
theta[3],0.305931995382624,0.002274816016184,0.06575801415106,0.200345498311938,0.258939778550811,0.298319885315012,0.344704623824662,0.453459753790762,835.612299943026,0.999005149295517
theta[4],0.470543155172866,0.000920742507204,0.02754254669598,0.397630510678677,0.458406455788089,0.479001364888075,0.491213882576933,0.498888841621326,894.812005142948,0.999004472826424
theta[5],0.247415370215132,0.002515339020905,0.07857069233086,0.11712714989796,0.18877540170316,0.242373330009285,0.295094233585485,0.423987334797288,975.726507600298,0.999401296108314
theta[6],2.33057639409298,0.043734463387415,1.05576385475439,0.801538223124198,1.56719265634976,2.14607854641106,2.86688124262741,4.97965670526422,582.754954270286,0.999148826316034
theta[7],25.6759367454789,1.41372337253483,24.6611399516626,1.41373451794167,7.48795501830655,17.3286387001644,36.6104338080811,98.3120485250984,304.296823934474,1.00100106403422
theta[8],0.10063408211379,0.000980716595093,0.031955317419269,0.04812387069049,0.078329554198457,0.098027135114594,0.119112173379886,0.173560342417243,1061.69365829283,1.00338213324004
theta[9],0.401019692177145,0.001771645282515,0.054583129838922,0.301497335739251,0.365862922563048,0.398108436347538,0.434739414489479,0.515927807177798,949.21223040833,0.999260781005199
theta[10],0.50128268421444,0.005495741766644,0.163687991361836,0.241882640413588,0.377890219495928,0.488384612558529,0.605825762065184,0.861849149029324,887.117206719384,0.999455160992057
R_0,3.09830116161298,0.025459537457599,0.799782798431962,2.02571505802412,2.54364502450969,2.91760185937057,3.52933632021761,5.16600231435619,986.831718172811,0.999379190299165
