"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.869048299799054,0.00514871105778976,0.0978857102159614,0.682165980467272,0.804686285381487,0.868352863072821,0.937023948497415,1.06182529819342,361.444442955267,1.00143802740866
"theta[2]",0.773843143285073,0.0046027483812297,0.104618609756288,0.569083400330287,0.701600196464119,0.772267867712234,0.846455714630401,0.978688829316897,516.634520113683,0.999594368306173
"theta[3]",0.214374888344207,0.004138511534255,0.0453536445234995,0.150680557103793,0.184769247857523,0.204247283195704,0.234491487266709,0.341962510425457,120.098074270302,1.02126918511944
"theta[4]",0.438713043487097,0.00242902577111995,0.0526255842097928,0.308926405446511,0.408724042597699,0.452840438901596,0.480305500075268,0.498901459752417,469.385441200032,1.00119272473489
"theta[5]",0.460317217143205,0.0123911752393501,0.117449264835801,0.197106892370174,0.39097686796343,0.461681538987864,0.535503347745244,0.681034550708648,89.841213115085,1.01402020636824
"theta[6]",0.260271155938875,0.238642514137258,1.32759216484714,0.00416204119207081,0.0280316540126105,0.0569198834041419,0.104276295124357,0.360509979207563,30.9480813512505,1.04428147937757
"theta[7]",0.232787034260866,0.237662192348915,1.3076330430732,0.0025335711006395,0.0130529191869944,0.0328039157313043,0.0664351889946689,0.352536235083205,30.2727291138159,1.04491718497775
"theta[8]",0.122748293564316,0.00343945378799963,0.0412130389721801,0.0537932637130963,0.0930952938177294,0.119782831596019,0.14657233785192,0.214492075249482,143.578800939601,1.0148258093782
"theta[9]",0.510644822784609,0.00795116097666255,0.0939779103906603,0.316332978039866,0.45849775941353,0.511387972936488,0.566213607142923,0.688740366434777,139.698092514057,1.02835370679059
"theta[10]",0.507986902835065,0.00892886427285248,0.16391802160802,0.252405583119436,0.387597136671631,0.488027850187011,0.603393890442534,0.892546109188493,337.024105609238,1.00895640902115
"R_0",1.91676933255466,0.0988255777691876,0.602852684740384,1.43415297024474,1.65631604085172,1.79706755343147,1.97844494115196,3.27746289921956,37.2120567454599,1.03690713229396
"y_init[1]",8916144.94425516,66.4756579139874,606.589580999924,8914837.50892952,8915745.99048233,8916239.29888162,8916569.23916215,8917209.17885487,83.2654060667696,1.00801746118128
"y_init[2]",1686.67731533301,15.9085126330337,326.375445012881,896.530072317925,1486.26274289825,1766.70886670616,1949.26690371368,2084.57481061423,420.89697032899,1.00344768411012
"y_init[3]",22,NA,0,22,22,22,22,22,NA,NA
"y_init[4]",799.378429505249,72.3470928999859,554.458987505517,105.650450976364,353.230621719757,643.444308509595,1145.77531626349,2035.52134558476,58.7349611399435,1.00489477126488
"y_init[5]",0,NA,0,0,0,0,0,0,NA,NA
"y_init[6]",0,NA,0,0,0,0,0,0,NA,NA
"y_init[7]",0,NA,0,0,0,0,0,0,NA,NA
"y_init[8]",74,NA,0,74,74,74,74,74,NA,NA
